date,iteration,treatment_type,vector_layer,mean_predict_lmh,mean_prob_high
2020-06-16,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9826708296654929,0.12064554277160358
2020-06-16,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9784837239583334,0.05298647054036458
2020-06-16,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747384053492532,0.06051627395279955
2020-07-01,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9826443524427817,0.12533467610677082
2020-07-01,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9826443524427817,0.12533467610677082
2020-07-01,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9785138346354166,0.06315100606282552
2020-07-01,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747371725752156,0.06090271008935146
2020-07-16,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9826413723224765,0.12169026119608274
2020-07-16,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9826413723224765,0.12169026119608274
2020-07-16,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9785183919270833,0.06340586344401042
2020-07-16,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747386108115926,0.05736185559819127
2020-08-01,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9826472179430751,0.12765580298195423
2020-08-01,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9826472179430751,0.12765580298195423
2020-08-01,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.97851318359375,0.06738651529947917
2020-08-01,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747336797154429,0.061696000182450556
2020-08-16,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9825768412558685,0.13371540481495744
2020-08-16,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9825768412558685,0.13371540481495744
2020-08-16,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9785004069010417,0.07153406778971354
2020-08-16,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747380971557438,0.06759082385672535
2020-09-01,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.982550937133216,0.13758979045169453
2020-09-01,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.982550937133216,0.13758979045169453
2020-09-01,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.97849658203125,0.07216836547851563
2020-09-01,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747365561881969,0.07064675512299798
2020-09-16,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9825197604900234,0.1411008163237236
2020-09-16,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9825197604900234,0.1411008163237236
2020-09-16,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.978490234375,0.07208963521321615
2020-09-16,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747329605972543,0.06982094419396302
2020-10-01,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9824545417033451,0.15501590066112822
2020-10-01,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9824545417033451,0.15501590066112822
2020-10-01,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9784812825520833,0.07391486612955729
2020-10-01,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747122089009573,0.07605382404451794
2020-10-16,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9825063499486503,0.139439170013571
2020-10-16,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9825063499486503,0.139439170013571
2020-10-16,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9785187174479166,0.06475755310058594
2020-10-16,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747199137386914,0.06716625519408795
2020-11-01,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9826873349471831,0.1153584941452098
2020-11-01,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9826873349471831,0.1153584941452098
2020-11-01,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9784689127604167,0.056437744140625
2020-11-01,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9747328578660845,0.058038211937279746
2020-11-16,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9827368507922535,0.10303249448677744
2020-11-16,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9827368507922535,0.10303249448677744
2020-11-16,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9784674479166666,0.05289002990722656
2020-11-16,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.97471087339575,0.05426920435941773
2020-12-01,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9827343291519953,0.09932734529737015
2020-12-01,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9827343291519953,0.09932734529737015
2020-12-01,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9784928385416667,0.05103231811523438
2020-12-01,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.9746948473332632,0.05190839071211603
2020-12-16,Iteration_00,conditional,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9827465934932512,0.08709689574622212
2020-12-16,Iteration_00,conditional,g3_northsbco_vmp_rxfire_epsg6350,0.9827465934932512,0.08709689574622212
2020-12-16,Iteration_00,conditional,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9784832356770833,0.04811247253417969
2020-12-16,Iteration_00,conditional,g1_lompoc_rxfire_epsg6350,0.974527703720019,0.04665198989248567
2020-01-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9790110126907277,0.07385056903104827
2020-01-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9790110126907277,0.07385056903104827
2020-01-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9757350260416666,0.046855443318684895
2020-01-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9707028168064906,0.04614709187577254
2020-01-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9791735438673709,0.0835469707077098
2020-01-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9791735438673709,0.0835469707077098
2020-01-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.97603369140625,0.05193230183919271
2020-01-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9706647035424995,0.049025400949482566
2020-02-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9793298855633803,0.08576736092007776
2020-02-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9793298855633803,0.08576736092007776
2020-02-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.97625537109375,0.04748586018880208
2020-02-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9709687878050705,0.049732306970186595
2020-02-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9793557896860329,0.10040077603478946
2020-02-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9793557896860329,0.10040077603478946
2020-02-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9762786458333333,0.05540031941731771
2020-02-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.971082613941195,0.05849774772183358
2020-03-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.979312577941608,0.08050941144916374
2020-03-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.979312577941608,0.08050941144916374
2020-03-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.976030029296875,0.04483696492513021
2020-03-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9709146484785924,0.04931835814222596
2020-03-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9783262727406103,0.06835501227580326
2020-03-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9783262727406103,0.06835501227580326
2020-03-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.97462353515625,0.043419138590494795
2020-03-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9697282061987166,0.04314845249875079
2020-04-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9783920646273474,0.07509666048864803
2020-04-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9783920646273474,0.07509666048864803
2020-04-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9750498046875,0.046274871826171876
2020-04-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9700162643988007,0.04554962665438276
2020-04-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9789906103286385,0.10390915848279783
2020-04-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9789906103286385,0.10390915848279783
2020-04-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.975791259765625,0.06220947774251302
2020-04-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9706882289803808,0.05515694934243833
2020-05-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9793451300249413,0.11070967839917106
2020-05-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9793451300249413,0.11070967839917106
2020-05-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763020833333333,0.06508849589029948
2020-05-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9711172343454134,0.058804798346932204
2020-05-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.979354872725939,0.11169648506272008
2020-05-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.979354872725939,0.11169648506272008
2020-05-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763683268229166,0.061998611450195314
2020-05-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712170890424469,0.06210551230801599
2020-06-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.979304325300763,0.11921355198246772
2020-06-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.979304325300763,0.11921355198246772
2020-06-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763421223958333,0.06585114542643229
2020-06-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712412308673469,0.06456429296710631
2020-06-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9792631767165493,0.11835774166483275
2020-06-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9792631767165493,0.11835774166483275
2020-06-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763447265625,0.05524766031901042
2020-06-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712412308673469,0.06510141004694403
2020-07-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9792315415933098,0.1230528925506162
2020-07-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9792315415933098,0.1230528925506162
2020-07-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763778483072917,0.06579902648925781
2020-07-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712398953621397,0.06550968939847202
2020-07-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9792281029929577,0.1193816064109265
2020-07-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9792281029929577,0.1193816064109265
2020-07-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763827311197917,0.0660354512532552
2020-07-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712414363296865,0.06172765422414133
2020-08-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.979234980193662,0.1254114715146347
2020-08-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.979234980193662,0.1254114715146347
2020-08-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763771158854166,0.07011818440755209
2020-08-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712357861153482,0.06638923515000394
2020-08-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9791510783450704,0.13173799469997066
2020-08-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9791510783450704,0.13173799469997066
2020-08-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763631184895833,0.0743330790201823
2020-08-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712410254050073,0.07264008011387545
2020-09-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9791200163218897,0.13580150335607394
2020-09-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9791200163218897,0.13580150335607394
2020-09-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763589680989583,0.07498469034830729
2020-09-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712391762439512,0.07574023072804348
2020-09-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9790829940580986,0.13919449927101674
2020-09-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9790829940580986,0.13919449927101674
2020-09-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.97635205078125,0.07489903259277343
2020-09-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712350669971597,0.07491316134217862
2020-10-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9790050524501174,0.15319701002237382
2020-10-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9790050524501174,0.15319701002237382
2020-10-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763421223958333,0.07672433471679688
2020-10-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712117470216179,0.08114469284613007
2020-10-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9790668326364437,0.1373040284349325
2020-10-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9790668326364437,0.1373040284349325
2020-10-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.976383056640625,0.06735999043782552
2020-10-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712205819022196,0.07205103242771013
2020-11-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.979282891358568,0.11340899400308098
2020-11-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.979282891358568,0.11340899400308098
2020-11-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763284505208333,0.05877119954427083
2020-11-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712349642659899,0.062357550391693405
2020-11-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9793420352846244,0.10103844297883656
2020-11-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9793420352846244,0.10103844297883656
2020-11-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.97632666015625,0.05508510335286458
2020-11-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9712098978605618,0.05841674419445613
2020-12-01,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9793390551643193,0.09743473249981661
2020-12-01,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9793390551643193,0.09743473249981661
2020-12-01,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.9763546549479166,0.05314961751302083
2020-12-01,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9711917144435094,0.055885518798571295
2020-12-16,Iteration_00,treated,sb_frontcountry_existing_trts_calmapper_epsg6350,0.9793536119058098,0.08537437904608641
2020-12-16,Iteration_00,treated,g3_northsbco_vmp_rxfire_epsg6350,0.9793536119058098,0.08537437904608641
2020-12-16,Iteration_00,treated,g2_usfsgaviota_300m_buffer_rxgrazing_epsg6350,0.976343994140625,0.05010793558756511
2020-12-16,Iteration_00,treated,g1_lompoc_rxfire_epsg6350,0.9710022781664213,0.05028111614128577
